cd_id,crg,pmid_latest,pmid_year,updates_to_2018,years_utd_2018,included_before_2003_update,included_2003_update,included_2011,included_2018,stable,year_stable,retracted,year_retracted,republished,year_republished,ongoing_2011,ongoing_2018,update_2004_plus,first_published,update_1,update_2,update_3,update_4,update_5,update_6,update_7,update_8,update_9,update_10,update_11,last_update
CD000016,Infectious Diseases,12804382,2003,1,,40,56,56,56,Y,2011,N,,,,N,N,N,1996,2003,,,,,,,,,,,2003
CD000025,Pregnancy and Childbirth,21069663,2010,2,6,9,13,15,15,N,,N,,,,Y,Y,Y,1996,2003,2010,,,,,,,,,,2010
CD000029,Stroke,24668137,2014,3,8,8,9,12,8,N,,N,,,,Y,Y,Y,1995,2003,2008,2014,,,,,,,,,2014
CD000031,Tobacco Addiction,24402784,2014,6,12,8,30,66,90,N,,N,,,,Y,Y,Y,2000,2002,2003,2004,2007,2009,2013,,,,,,2013
CD000032,Pregnancy and Childbirth,26031211,2015,5,12,13,13,13,17,N,,N,,,,Y,Y,Y,1997,2003,2006,2009,2011,2015,,,,,,,2015
CD000052,Airways,24037768,2013,7,15,21,28,33,39,N,,N,,,,Y,Y,Y,1996,1997,1999,2001,2003,2006,2008,2013,,,,,2013
CD000088,Schizophrenia,21154340,2010,4,10,13,28,53,53,N,,N,,,,Y,Y,Y,1999,2003,2006,2008,2010,,,,,,,,2010
CD000091,Stroke,22419274,2012,2,6,3,5,5,8,N,,N,,,,Y,Y,Y,1997,2003,2011,,,,,,,,,,2011
CD000099,Gynaecology and Fertility,20091500,2010,2,6,6,9,10,10,N,,N,,,,Y,Y,Y,1995,2003,2009,,,,,,,,,,2009
CD000104,Neonatal,25785789,2015,6,14,8,11,17,19,N,,N,,,,Y,Y,Y,1997,2001,2003,2007,2009,2013,2014,,,,,,2014
CD000108,Pregnancy and Childbirth,22895915,2012,3,8,2,1,1,1,N,,N,,,,Y,Y,Y,1997,2003,2009,2012,,,,,,,,,2012
CD000109,Pregnancy and Childbirth,12535384,2003,4,9,0,0,0,0,N,,N,,,,Y,Y,Y,1995,2003,2004,2006,2009,,,,,,,,2009
CD000112,Pregnancy and Childbirth,25331518,2014,4,10,18,19,20,20,N,,N,,,,Y,Y,Y,1996,2003,2006,2012,2014,,,,,,,,2014
CD000114,Pregnancy and Childbirth,23440775,2013,2,6,3,5,5,7,N,,N,,,,Y,Y,N,1996,2003,2013,,,,,,,,,,2013
