1995,1996,1997,1998,1999,2000,2001,2002,2019
Acute Respiratory Infections,Acute Respiratory Infections,Acute Respiratory Infections,Acute Respiratory Infections,Acute Respiratory Infections,Acute Respiratory Infections,Acute Respiratory Infections,Acute Respiratory Infections,Acute Respiratory Infections
Airways,Airways,Airways,Airways,Airways,Airways,Airways,Airways,Airways
Cystic Fibrosis (later Cystic Fibrosis and Genetic Disorders),Chronic Wounds,Breast Cancer,Back,Back (later Back and Neck),Anaesthesia,Anaesthesia,Anaesthesia,Anaesthesia
Dementia (later Dementia and Cognitive Improvement),Cystic Fibrosis (later Cystic Fibrosis and Genetic Disorders),Cystic Fibrosis and Genetic Disorders,Breast Cancer,Breast Cancer,Back,Back,Back,Back and Neck
Diabetes (later Metabolic and Endocrine Disorders),Dementia (later Dementia and Cognitive Improvement),Dementia and Cognitive Impairment,Colorectal Cancer,Colorectal Cancer,Breast Cancer,Breast Cancer,Breast Cancer,"Bone, Joint, and Muscle Trauma"
Effective Practice and Organisation of Care,Diabetes (later Metabolic and Endocrine Disorders),"Depression, Anxiety and Neurosis (later Common Mental Disorders)",Consumers and Communication,Consumers and Communication,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer,Breast Cancer
Inflammatory Bowel Disease,Effective Practice and Organisation of Care,Diabetes (later Metabolic and Endocrine Disorders),Cystic Fibrosis and Genetic Disorders,Cystic Fibrosis and Genetic Disorders,Consumers and Communication,Consumers and Communication,Consumers and Communication,Childhood Cancer
Menstrual Disorders (later Gynaecology and Fertility),Hypertension,Effective Practice and Organisation of Care,Dementia and Cognitive Impairment,Dementia and Cognitive Impairment,Cystic Fibrosis and Genetic Disorders,Cystic Fibrosis and Genetic Disorders,Cystic Fibrosis and Genetic Disorders,Colorectal Cancer
Musculoskeletal,Incontinence,Epilepsy,"Depression, Anxiety and Neurosis (later Common Mental Disorders)","Depression, Anxiety and Neurosis (later Common Mental Disorders)",Dementia and Cognitive Impairment,Dementia and Cognitive Impairment,Dementia and Cognitive Improvement,Common Mental Disorders
Neonatal,Inflammatory Bowel Disease,Eyes and Vision,"Developmental, Psychosocial and Learning Problems","Developmental, Psychosocial and Learning Problems","Depression, Anxiety and Neurosis (later Common Mental Disorders)","Depression, Anxiety and Neurosis (later Common Mental Disorders)","Depression, Anxiety and Neurosis (later Common Mental Disorders)",Consumers and Communication
Oral Health,Menstrual Disorders,"Gynaecological Cancer (later Gynaecological, Neuro-oncology and Orphan Cancer)",Drug and Alcohol (later Drugs and Alcohol),Drug and Alcohol (later Drugs and Alcohol),"Developmental, Psychosocial and Learning Problems","Developmental, Psychosocial and Learning Problems","Developmental, Psychosocial and Learning Problems",Cystic Fibrosis and Genetic Disorders
Parasitic Diseases (later Infectious Diseases),Menstrual Disorders (later Gynaecology and Fertility),Hepato-Biliary,"Ear, Nose and Throat Disorders","Ear, Nose and Throat Disorders",Drug and Alcohol (later Drugs and Alcohol),Drug and Alcohol (later Drugs and Alcohol),Drugs and Alcohol,Dementia and Cognitive Improvement
