cd_id,major_2003,searches_reported_2011,trial_changes_reported_2011,years_since_search_april_2011
CD000016,N,N,Y,
CD000025,N,Y,Y,0
CD000029,N,Y,Y,3
CD000031,N,N,Y,1
CD000032,N,Y,N,1
CD000052,N,N,N,2
CD000088,N,N,N,1
CD000091,N,Y,Y,7
CD000099,N,N,Y,1
CD000104,Y,N,N,2
CD000108,N,Y,Y,1
CD000109,N,Y,Y,1
CD000112,N,Y,Y,1
CD000114,N,Y,Y,8
CD000116,N,Y,Y,1
CD000127,N,Y,Y,0
CD000128,N,N,Y,0
CD000129,N,N,Y,
CD000133,N,Y,Y,4
CD000136,N,Y,N,3
CD000137,N,Y,Y,1
CD000139,N,N,Y,0
CD000143,N,N,N,3
CD000145,N,N,Y,
CD000148,N,Y,Y,1
CD000155,N,N,Y,
CD000163,Y,N,N,4
CD000164,N,Y,N,0
CD000166,N,Y,Y,6
CD000168,N,N,Y,5
CD000169,N,N,Y,4
CD000189,N,N,N,7
CD000194,N,N,N,
CD000198,N,Y,N,1
CD000205,N,N,N,5
CD000208,N,N,N,1
CD000218,N,Y,Y,8
CD000223,N,N,N,7
CD000243,N,N,N,1
CD000248,N,Y,Y,2
CD000255,N,Y,Y,1
CD000259,Y,N,N,4
CD000262,N,N,N,4
CD000284,N,N,N,4
CD000301,N,N,N,2
CD000314,N,Y,Y,5
CD000340,N,Y,Y,
CD000366,N,Y,Y,7
CD000416,N,Y,N,7
CD000434,N,Y,Y,0
CD000435,N,N,N,6
CD000440,N,N,N,8
CD000442,Y,Y,N,
CD000518,N,N,N,3
CD000543,N,N,N,5
CD000562,N,Y,N,3
CD000565,N,Y,Y,5
CD000941,N,N,N,2
CD000978,N,N,N,0
CD001015,N,N,N,6
CD001021,N,Y,Y,0
CD001049,N,N,N,5
CD001058,N,N,N,0
CD001108,N,N,N,2
CD001117,N,N,N,8
CD001144,N,N,N,
CD001145,N,N,N,2
CD001146,N,Y,Y,2
CD001166,N,N,N,
CD001177,N,N,N,1
CD001186,N,N,Y,1
CD001217,N,N,N,7
CD001242,N,N,Y,7
CD001245,N,Y,Y,8
CD001257,N,N,N,2
CD001281,N,N,N,3
CD001285,N,N,N,8
CD001287,N,Y,Y,2
CD001291,N,N,Y,8
CD001301,N,N,N,8
CD001319,N,N,N,3
CD001330,N,Y,N,8
CD001332,N,Y,N,7
CD001333,N,N,N,0
CD001359,N,N,N,6
CD001366,N,N,N,8
CD001394,N,N,N,5
CD001431,N,Y,Y,4
CD001439,N,N,N,5
CD001474,N,N,Y,
CD001496,N,N,N,8
CD001506,N,N,Y,2
CD001533,N,N,N,3
CD001539,N,Y,Y,3
CD001552,N,N,N,3
CD001556,Y,N,N,1
CD001560,N,N,N,7
CD001704,N,Y,Y,0
CD001760,N,N,N,5
CD001770,N,Y,Y,2
CD001785,N,N,N,8
CD001814,N,N,N,5
CD001819,N,N,N,3
CD001837,N,N,Y,3
CD001912,N,N,Y,0
CD001958,N,Y,N,4
CD001960,N,N,N,
CD001961,N,N,Y,5
CD001998,N,Y,Y,8
CD002013,N,Y,Y,1
CD002024,N,Y,N,2
CD002029,N,N,N,1
CD002030,N,N,Y,1
CD002031,N,N,N,2
CD002032,N,N,N,2
CD002037,N,N,N,7
CD002046,N,N,N,4
CD002052,N,Y,Y,1
CD002086,N,N,N,8
CD002092,N,N,N,5
CD002096,N,N,N,5
CD002099,N,N,Y,2
CD002117,N,N,Y,3
CD002142,N,N,N,2
CD002147,N,N,N,8
CD002168,N,N,N,6
CD002192,N,Y,Y,2
CD002193,N,N,N,8
CD002194,N,N,N,8
CD002203,N,Y,Y,0
CD002207,N,N,N,4
CD002209,N,N,N,2
CD002238,N,N,Y,3
CD002245,N,Y,Y,2
CD002247,N,Y,Y,2
CD002255,N,Y,Y,8
CD002256,N,Y,N,1
CD002300,N,Y,N,1
CD002308,N,N,N,5
CD002771,N,N,N,0
CD002787,N,Y,Y,0
CD002837,N,N,N,1
CD002850,N,N,Y,1
CD002863,N,N,N,7
CD002884,N,N,Y,0
CD002898,N,N,N,0
CD002911,N,N,Y,4
CD002950,N,N,N,3
CD002967,N,Y,N,1
CD002969,N,Y,Y,3
CD002994,N,N,N,4
CD003034,N,N,N,0
CD003036,N,Y,Y,1
CD003038,N,N,N,3
CD003101,N,Y,N,1
CD003125,N,N,N,
CD003154,N,N,N,5
CD003161,N,Y,N,8
CD003169,N,N,N,4
CD003209,N,N,Y,
CD003283,N,N,N,2
CD003343,N,N,Y,3
CD003352,N,N,N,8
CD003383,N,N,N,6
CD003391,N,N,N,7
CD003399,N,Y,Y,1
CD003409,N,N,N,3
CD003410,N,N,N,0
CD003575,N,N,N,3
CD003592,N,N,N,8
CD003656,N,N,N,7
CD003665,N,N,N,4
CD003680,N,N,Y,1
CD003688,N,N,N,8
CD003815,N,N,Y,3
CD003816,N,Y,Y,6
CD003911,N,N,N,8
