cd_id,updated,status,indexed_late
CD000004,Y,A,
CD000005,Y,A,
CD000006,Y,A,
CD000007,Y,A,
CD000008,Y,A,
CD000009,Y,A,
CD000010,N,W,
CD000011,Y,A,
CD000012,Y,A,
CD000013,Y,A,
CD000014,Y,A,
CD000015,Y,A,
CD000016,Y,S,
CD000017,Y,A,
CD000018,N,W,
CD000019,Y,A,
CD000020,Y,A,
CD000021,Y,A,
CD000022,Y,A,
CD000023,Y,A,
CD000024,Y,A,
CD000025,Y,A,
CD000026,Y,A,
CD000027,Y,A,
CD000028,Y,A,
CD000029,Y,A,
CD000030,Y,A,
CD000031,Y,A,
CD000032,Y,A,
CD000033,Y,A,
CD000034,Y,A,
CD000035,Y,A,
CD000036,Y,A,
CD000037,Y,A,
CD000038,Y,A,
CD000039,Y,A,
CD000040,Y,A,
CD000043,N,X,
CD000044,N,W,
CD000045,Y,A,
CD000046,N,W,
CD000047,Y,A,
CD000048,Y,A,
CD000049,Y,A,
CD000050,Y,A,
CD000051,Y,A,
CD000052,Y,A,
CD000053,Y,A,
CD000054,Y,A,
CD000055,N,W,
CD000056,N,W,
CD000057,Y,A,
CD000058,Y,A,
CD000059,Y,A,
CD000060,N,A,
CD000061,N,W,
CD000062,Y,A,
CD000063,Y,A,
CD000064,N,A,
CD000065,Y,A,
CD000066,Y,A,
CD000067,Y,A,
CD000068,Y,A,
CD000069,Y,A,
CD000070,N,W,
CD000071,Y,A,
CD000072,Y,A,
CD000073,Y,A,
CD000074,Y,A,
CD000075,Y,A,
CD000076,Y,A,
CD000077,Y,A,
CD000078,Y,S,
CD000079,Y,A,
CD000080,N,W,
CD000081,Y,A,
CD000082,Y,A,
CD000083,Y,A,
CD000084,Y,A,
CD000085,Y,A,
CD000086,Y,A,
CD000087,N,W,
CD000088,Y,A,
CD000089,Y,A,
CD000090,N,X,
CD000091,Y,A,
CD000092,N,W,
CD000093,Y,A,
CD000094,N,S,
CD000095,Y,A,
CD000096,Y,A,
CD000097,N,W,
CD000098,Y,A,
CD000099,Y,A,
CD000100,Y,A,
CD000101,N,W,
CD000102,N,S,
CD000103,N,A,
CD000104,Y,A,
CD000105,N,W,
CD000106,Y,A,
CD000107,Y,A,
CD000108,Y,A,
CD000109,Y,A,
CD000110,Y,A,
CD000111,Y,A,
CD000112,Y,A,
CD000113,N,X,
CD000114,Y,A,
CD000115,Y,A,
CD000116,Y,A,
CD000117,Y,A,
CD000118,N,W,
CD000119,Y,A,
CD000120,Y,A,
CD000121,Y,A,
CD000122,N,A,
CD000123,Y,A,
CD000124,Y,A,
CD000125,Y,A,
CD000126,Y,A,
CD000127,Y,A,
CD000128,Y,A,
CD000129,Y,W,
CD000130,Y,A,
CD000131,N,W,
CD000132,N,W,
CD000133,Y,A,
CD000134,Y,A,
CD000135,Y,A,
CD000136,Y,A,
CD000137,Y,A,
CD000138,Y,A,
CD000139,Y,A,
CD000140,Y,A,
CD000141,Y,A,
CD000142,Y,A,
CD000143,Y,A,
CD000144,N,A,
CD000145,Y,W,
CD000146,Y,A,
CD000147,Y,A,
CD000148,Y,A,
CD000149,N,W,
CD000150,N,W,
CD000151,N,W,
CD000152,N,W,
CD000153,N,W,
CD000154,Y,A,
CD000155,Y,S,
CD000156,N,X,
CD000157,N,W,
CD000158,N,W,
CD000159,N,W,
CD000160,Y,A,
CD000161,Y,A,
CD000162,Y,A,
CD000163,Y,A,
CD000164,Y,A,
CD000165,Y,A,
CD000166,Y,A,
CD000167,Y,A,
CD000168,Y,A,
CD000169,Y,A,
CD000170,Y,A,
CD000171,Y,A,
CD000172,N,W,
CD000173,N,A,
CD000174,Y,A,
CD000175,Y,A,
CD000176,Y,A,
CD000177,Y,A,
CD000178,N,W,
CD000179,Y,A,
CD000180,Y,A,
CD000181,Y,A,
CD000182,Y,A,
CD000183,Y,A,
CD000184,Y,A,
CD000185,Y,A,
CD000186,N,W,
CD000187,Y,A,
CD000188,Y,A,
CD000189,Y,A,
CD000190,Y,A,
CD000191,Y,A,
CD000192,Y,A,
CD000193,Y,A,
CD000194,Y,S,
CD000195,Y,A,
CD000196,Y,A,
CD000197,Y,A,
CD000198,Y,A,
CD000199,N,W,
CD000200,Y,A,
CD000201,Y,A,
CD000202,Y,A,
CD000203,Y,A,
CD000204,N,A,
CD000205,Y,A,
CD000206,Y,A,
CD000207,N,A,
CD000208,Y,A,
CD000209,Y,A,
CD000210,Y,A,
CD000211,Y,A,
CD000212,N,A,
CD000213,Y,A,
CD000214,N,A,
CD000215,Y,A,
CD000216,N,A,
CD000217,Y,A,
CD000218,Y,A,
CD000219,Y,A,
CD000220,Y,A,
CD000221,Y,A,
CD000222,Y,A,
CD000223,Y,A,
CD000224,Y,A,
CD000225,Y,A,
CD000226,Y,A,
CD000227,Y,A,
CD000228,Y,A,
CD000229,Y,A,
CD000230,Y,A,
CD000232,N,W,
CD000234,Y,A,
CD000235,N,A,
CD000236,N,A,
CD000238,Y,A,
CD000239,Y,A,
CD000243,Y,A,
CD000244,Y,A,
CD000245,Y,A,
CD000246,Y,A,
CD000247,Y,A,
CD000248,Y,A,
CD000249,Y,A,
CD000251,N,A,
CD000253,Y,A,
CD000254,Y,A,
CD000255,Y,A,
CD000256,N,S,
CD000259,Y,A,
CD000260,N,W,
CD000261,Y,A,
CD000262,Y,A,
CD000265,Y,A,
CD000269,Y,A,
CD000270,Y,A,
CD000273,Y,A,
CD000277,Y,A,
CD000280,N,A,
CD000283,Y,A,
CD000284,Y,A,
CD000299,N,A,
CD000301,Y,A,
CD000304,Y,A,
CD000305,N,A,
CD000307,Y,A,
CD000308,Y,A,
CD000313,Y,A,
CD000314,Y,A,
CD000317,Y,A,
CD000320,Y,A,
CD000322,Y,A,
CD000323,N,A,
CD000324,Y,A,
CD000326,N,A,Y
CD000328,N,A,
CD000329,Y,A,
CD000330,Y,A,
CD000331,Y,A,
CD000333,Y,A,
CD000335,Y,A,
CD000336,Y,A,
CD000337,Y,A,
CD000338,Y,A,
CD000339,Y,A,
CD000340,Y,W,
CD000341,N,A,
CD000343,Y,A,
CD000345,Y,A,
CD000346,N,W,
CD000349,N,A,
CD000352,Y,A,
CD000353,Y,A,
CD000356,Y,A,
CD000359,Y,A,
CD000360,Y,A,
CD000361,Y,A,
CD000362,Y,A,
CD000363,Y,A,
CD000364,Y,A,
CD000366,Y,A,
CD000368,Y,A,
CD000369,N,A,
CD000370,N,A,
CD000371,Y,A,
CD000373,Y,A,
CD000375,Y,A,
CD000376,Y,A,
CD000377,Y,A,
CD000380,Y,A,
CD000381,Y,A,
CD000384,Y,A,
CD000386,Y,A,
CD000387,Y,A,
CD000389,N,A,
CD000390,Y,A,
CD000391,Y,A,
CD000395,Y,A,
CD000396,Y,A,
CD000398,N,A,
CD000399,Y,A,
CD000400,Y,A,
CD000402,Y,A,
CD000405,Y,A,
CD000406,Y,A,
CD000407,Y,A,
CD000409,Y,A,
CD000410,N,A,
CD000412,Y,A,
CD000416,Y,W,
CD000419,Y,A,
CD000424,N,A,
CD000425,Y,A,
CD000427,Y,A,
CD000432,Y,A,
CD000433,N,A,
CD000434,Y,A,
CD000435,Y,A,
CD000436,Y,A,
CD000438,Y,A,
CD000440,Y,A,
CD000442,Y,S,
CD000443,Y,A,
CD000444,N,A,
CD000446,Y,A,
CD000448,Y,A,
CD000450,Y,A,
CD000451,Y,A,
CD000452,Y,A,
CD000453,Y,A,
CD000454,N,W,
CD000456,Y,A,
CD000459,Y,A,
CD000460,Y,A,
CD000464,Y,A,
CD000473,N,W,
CD000475,Y,A,
CD000479,Y,A,
CD000480,Y,A,
CD000483,Y,A,
CD000484,Y,A,
CD000485,Y,A,
CD000486,Y,A,
CD000487,Y,A,
CD000490,Y,A,
CD000491,Y,A,
CD000492,Y,A,
CD000493,Y,A,
CD000494,Y,A,
CD000495,Y,A,
CD000496,N,A,
CD000498,Y,A,
CD000499,Y,A,
CD000500,Y,A,
CD000501,Y,A,
CD000502,Y,A,
CD000503,Y,A,
CD000504,Y,A,
CD000505,Y,A,
CD000506,Y,A,
CD000507,Y,A,
CD000508,Y,A,
CD000509,Y,A,
CD000510,N,A,
CD000511,Y,A,
CD000514,Y,A,
CD000515,Y,A,
CD000516,Y,A,
CD000517,N,W,
CD000518,Y,A,
CD000520,N,A,
CD000521,Y,A,
CD000522,Y,A,
CD000523,Y,A,
CD000524,Y,A,
CD000525,Y,A,
CD000526,Y,A,
CD000527,N,S,
CD000528,Y,A,
CD000530,Y,A,
CD000531,N,A,
CD000532,Y,A,
CD000541,Y,A,
CD000542,Y,A,
CD000543,Y,A,
CD000544,Y,A,
CD000545,Y,A,
CD000546,Y,A,
CD000547,N,A,
CD000551,Y,A,
CD000560,N,A,
CD000561,N,A,
CD000562,Y,A,
CD000564,N,A,
CD000565,Y,A,
CD000566,Y,A,
CD000567,Y,A,
CD000933,Y,A,
CD000934,Y,A,
CD000935,Y,A,
CD000936,Y,A,
CD000937,Y,A,
CD000938,Y,A,
CD000940,Y,A,
CD000941,Y,A,
CD000942,Y,A,
CD000944,N,A,
CD000946,N,W,
CD000947,Y,A,
CD000948,Y,A,
CD000949,Y,A,
CD000950,N,A,
CD000951,N,A,
CD000952,N,A,
CD000953,N,A,
CD000954,Y,A,
CD000955,Y,A,
CD000956,N,A,
CD000957,N,A,
CD000958,N,A,
CD000959,N,A,
CD000961,N,W,
CD000962,N,W,
CD000963,Y,A,
CD000964,Y,A,
CD000966,N,A,
CD000967,Y,A,
CD000968,N,A,
CD000969,Y,A,
CD000970,Y,A,
CD000972,Y,A,
CD000974,Y,A,
CD000975,Y,A,
CD000976,Y,A,
CD000977,Y,A,
CD000978,Y,A,
CD000979,N,A,
CD000980,Y,A,
CD000984,Y,A,
CD000987,N,A,
CD000988,Y,A,
CD000990,Y,A,
CD000991,Y,A,
CD000993,Y,A,
CD000994,Y,A,
CD000995,Y,A,
CD000996,Y,A,
CD000998,Y,A,
CD001000,Y,A,
CD001001,Y,A,
CD001002,Y,A,
CD001004,Y,A,
CD001005,N,A,
CD001006,Y,A,
CD001007,Y,A,
CD001008,Y,A,
CD001009,Y,A,
CD001011,Y,A,
CD001015,Y,A,
CD001016,Y,A,
CD001017,Y,A,
CD001018,N,S,
CD001019,Y,A,
CD001021,Y,A,
CD001025,Y,A,
CD001026,N,A,
CD001027,Y,A,
CD001030,Y,A,
CD001034,Y,A,
CD001035,Y,A,
CD001036,N,S,
CD001040,Y,A,
CD001041,N,W,
CD001042,Y,A,
CD001043,N,W,
CD001044,N,A,
CD001046,Y,A,
CD001047,N,S,
CD001048,Y,A,
CD001049,Y,A,
CD001054,Y,A,
CD001055,Y,A,
CD001056,Y,A,
CD001057,Y,A,
CD001058,Y,A,
CD001059,Y,A,
CD001060,N,A,
CD001062,Y,A,
CD001063,Y,A,
CD001064,Y,A,
CD001065,Y,A,
CD001066,Y,A,
CD001067,Y,A,
CD001068,Y,A,
CD001069,Y,A,
CD001070,N,A,
CD001071,Y,A,
CD001072,Y,A,
CD001073,N,A,
CD001074,Y,A,
CD001075,Y,A,
